"Participant","RT","ISI","Response_Type","Trial_Score","Total_Score","Threshold","Valid_Trial","Valid_Trial_Count","Stimulus_Size","Stimulus_X","Stimulus_Y","Stimulus_Orientation"
"S120",0.550862450163269,1.03103744983673,"slow",0,0,0.375,TRUE,1,0.572351634502411,-564.847045898438,48.4640502929688,0.9681476354599
"S120",1.00813850746155,3.84046149253845,"slow",0,0,0.550862450163269,TRUE,2,0.415537536144257,-440.135620117188,-77.8832244873047,0.948323667049408
"S120",0.355059696524048,2.66114020347595,"fast",185,185,0.779500478812408,TRUE,3,0.670094072818756,-579.3681640625,-212.339492797852,-1
"S120",0.444175635719299,1.0872243642807,"fast",169,354,0.550862450163269,TRUE,4,0.668322861194611,470.741821289062,-196.057708740234,-0.284015268087387
"S120",0.34320192451477,3.85549807548523,"fast",177,531,0.497519042941284,TRUE,5,0.48169881105423,766.022033691406,-329.003356933594,0.754709661006927
"S120",0.327195499093628,3.40560460090637,"fast",176,707,0.444175635719299,TRUE,6,0.323314249515533,454.847351074219,64.5939407348633,-0.461748778820038
"S120",0.302639360482788,3.31006073951721,"fast",176,883,0.399617666121673,TRUE,7,0.470049023628235,-442.567413330078,-87.1598739624023,-1
"S120",0.440901346588135,1.32449865341187,"slow",0,883,0.355059696524048,TRUE,8,0.68445497751236,567.145812988281,-263.117889404297,-0.309016823768616
"S120",0.359043424661255,2.78915667533875,"fast",167,1050,0.397980521556091,TRUE,9,0.495588600635529,475.515563964844,-282.031524658203,0.608761429786682
"S120",0.377487064416504,2.1037130355835,"slow",0,1050,0.359043424661255,TRUE,10,0.614632070064545,775.084777832031,-142.571502685547,-0.870355725288391
"S120",0.348398149435425,1.93440175056458,"fast",166,1216,0.368265244538879,TRUE,11,0.480315566062927,652.754333496094,-278.877563476562,0.156434535980225
"S120",0.285365917205811,2.72913408279419,"fast",176,1392,0.359043424661255,TRUE,12,0.460061490535736,613.85546875,-70.0272521972656,0.737277328968048
"S120",0.323865766525268,2.60863423347473,"fast",169,1561,0.357051560592651,TRUE,13,0.53317803144455,680.201538085938,-58.4256744384766,-0.104528494179249
"S120",0.421971588079834,2.17782831192017,"slow",0,1561,0.355059696524048,TRUE,14,0.541684806346893,-573.833374023438,-362.076385498047,-0.284015357494354
"S120",0.307513474710083,3.60688662528992,"fast",172,1733,0.357051560592651,TRUE,15,0.470611929893494,718.354125976562,-162.925445556641,-0.978147625923157
"S120",0.430909203910828,1.20099079608917,"slow",0,1733,0.355059696524048,TRUE,16,0.616902112960815,-707.991943359375,-30.9542999267578,0.398749113082886
"S120",0.359465013885498,2.5219349861145,"slow",0,1733,0.357051560592651,TRUE,17,0.447056651115417,732.384216308594,-58.2769775390625,0.874619722366333
"S120",0.72374804649353,1.82535195350647,"missed",0,1733,0.359043424661255,FALSE,17,0.519831657409668,609.622985839844,-223.258316040039,-0.956304728984833
"S120",0.329147933905029,1.25215196609497,"fast",168,1901,0.359254219273376,TRUE,18,0.494922816753387,391.783782958984,72.1868286132812,-0.961865484714508
